timestamp,tx,ty,tz
1700283014.3695345,10.092609,-23.370886,12.787075
1700283014.4695342,10.109307,-23.349146,12.786893
1700283014.569534,10.131335,-23.316782,12.786623
1700283014.669534,10.161012,-23.28064,12.786416
1700283014.769534,10.192875,-23.243917,12.78626
1700283014.8695338,10.225378,-23.207123,12.78612
1700283014.9695337,10.256012,-23.17111,12.785989
1700283015.0695336,10.2663555,-23.137678,12.785736
1700283015.1695335,10.275872,-23.104334,12.785414
1700283015.2695334,10.2847395,-23.07104,12.784989
1700283015.3695333,10.290057,-23.046057,12.784688
1700283015.4695332,10.291814,-23.030365,12.784521
1700283015.569533,10.290248,-23.024374,12.784487
1700283015.669533,10.285511,-23.026363,12.784568
1700283015.769533,10.277064,-23.029613,12.784727
1700283015.8695328,10.267003,-23.041216,12.784973
1700283015.9695327,10.25596,-23.060097,12.785285
1700283016.0695326,10.2445135,-23.084944,12.785641
1700283016.1695323,10.234233,-23.102266,12.785867
1700283016.2695324,10.226885,-23.10582,12.785825
1700283016.3695323,10.220288,-23.113287,12.7858
1700283016.4695325,10.214557,-23.124214,12.785791
1700283016.5695322,10.20976,-23.138092,12.785803
1700283016.669532,10.205943,-23.154352,12.785838
1700283016.769532,10.20167,-23.171051,12.785899
1700283016.869532,10.19174,-23.18935,12.785925
1700283016.9695318,10.183217,-23.208445,12.785975
1700283017.0695317,10.176347,-23.227724,12.786053
1700283017.1695316,10.171744,-23.246374,12.786138
1700283017.2695315,10.1697645,-23.263783,12.786224
1700283017.3695314,10.170671,-23.279413,12.786305
1700283017.4695313,10.174596,-23.292809,12.786377
1700283017.5695312,10.181477,-23.303608,12.78643
1700283017.669531,10.192369,-23.301058,12.786406
1700283017.769531,10.205648,-23.285282,12.786322
1700283017.869531,10.22021,-23.266039,12.786233
1700283017.9695308,10.235799,-23.246328,12.786146
1700283018.0695307,10.25158,-23.226824,12.786067
1700283018.1695306,10.257636,-23.208473,12.785926
1700283018.2695303,10.262672,-23.191774,12.7858
1700283018.3695304,10.266562,-23.177399,12.785699
1700283018.4695303,10.2691765,-23.165937,12.785624
1700283018.5695302,10.270477,-23.157839,12.785577
1700283018.6695302,10.271099,-23.151909,12.785514
1700283018.76953,10.269622,-23.147734,12.785499
1700283018.86953,10.266407,-23.146626,12.785537
1700283018.96953,10.262019,-23.150002,12.785626
1700283019.0695298,10.257549,-23.155436,12.785697
1700283019.1695297,10.252887,-23.163446,12.785771
1700283019.2695296,10.248137,-23.17383,12.785853
1700283019.3695295,10.243603,-23.182056,12.785905
1700283019.4695294,10.239517,-23.18463,12.785892
1700283019.5695293,10.235784,-23.189274,12.78589
1700283019.6695292,10.232492,-23.195719,12.7859
1700283019.769529,10.229722,-23.203653,12.785922
1700283019.869529,10.227527,-23.212732,12.785955
1700283019.969529,10.223413,-23.22266,12.785978
1700283020.0695288,10.217774,-23.233034,12.785993
1700283020.1695287,10.213603,-23.243397,12.786019
1700283020.2695286,10.211068,-23.25337,12.7860565
1700283020.3695283,10.210293,-23.262606,12.786103
1700283020.4695284,10.211328,-23.270786,12.786155
1700283020.5695283,10.214139,-23.27764,12.786209
1700283020.6695282,10.218614,-23.28295,12.786261
1700283020.7695282,10.224794,-23.277437,12.786226
1700283020.869528,10.232141,-23.27003,12.786185
1700283020.969528,10.240284,-23.261395,12.786143
1700283021.069528,10.24876,-23.251629,12.786101
1700283021.1695278,10.252864,-23.24059,12.786026
1700283021.2695277,10.255941,-23.230165,12.785953
1700283021.3695276,10.25856,-23.220737,12.785886
1700283021.4695275,10.260617,-23.212671,12.785832
1700283021.5695274,10.2619505,-23.205868,12.78579
1700283021.6695273,10.262324,-23.19956,12.78576
1700283021.7695272,10.261969,-23.194935,12.785746
1700283021.869527,10.260947,-23.192154,12.785744
1700283021.969527,10.259357,-23.191265,12.785755
1700283022.069527,10.257305,-23.19226,12.78578
1700283022.1695268,10.254916,-23.195023,12.785813
1700283022.2695267,10.252309,-23.199358,12.785853
1700283022.3695266,10.249606,-23.205023,12.7859
1700283022.4695263,10.246918,-23.211723,12.78595
1700283022.5695264,10.244427,-23.216118,12.7859745
1700283022.6695263,10.242202,-23.21863,12.785975
1700283022.7695262,10.240227,-23.222185,12.785984
1700283022.869526,10.238558,-23.2266,12.785998
1700283022.969526,10.237242,-23.231672,12.78602
1700283023.069526,10.23632,-23.237196,12.786046
1700283023.169526,10.235304,-23.242943,12.786074
1700283023.2695258,10.233113,-23.248726,12.78609
1700283023.3695257,10.2319,-23.254265,12.786112
1700283023.4695256,10.231708,-23.25936,12.786137
1700283023.5695257,10.232532,-23.263819,12.786165
1700283023.6695254,10.234335,-23.267141,12.786191
1700283023.7695253,10.237155,-23.26462,12.786173
1700283023.8695252,10.240723,-23.261057,12.786151
1700283023.969525,10.244868,-23.25662,12.786128
1700283024.069525,10.247782,-23.251568,12.786092
1700283024.169525,10.249896,-23.24609,12.786049
1700283024.2695248,10.251828,-23.240404,12.786007
1700283024.3695247,10.253497,-23.23475,12.785967
1700283024.4695246,10.254837,-23.22936,12.785932
1700283024.5695243,10.2558,-23.224455,12.785902
1700283024.6695244,10.256363,-23.220228,12.78588
1700283024.7695243,10.256515,-23.216839,12.785864
1700283024.8695242,10.256271,-23.214409,12.785856
1700283024.969524,10.2556715,-23.213024,12.785856
1700283025.069524,10.254754,-23.212692,12.785864
1700283025.169524,10.25358,-23.213402,12.785877
1700283025.269524,10.252212,-23.215078,12.785897
1700283025.3695238,10.250717,-23.217623,12.78592
